week,state,count
2019-11-18,Alaska,1
2019-11-25,Alaska,2
2019-12-02,Alaska,4
2019-12-09,Alaska,0
2019-12-16,Alaska,0
2019-12-23,Alaska,1
2019-12-30,Alaska,3
2020-01-06,Alaska,2
2020-01-13,Alaska,5
2020-01-20,Alaska,0
2020-01-27,Alaska,0
2020-02-03,Alaska,5
2020-02-10,Alaska,0
2020-02-17,Alaska,2
2020-02-24,Alaska,1
2020-03-02,Alaska,3
2020-03-09,Alaska,4
2015-07-06,Arizona,0
2015-07-13,Arizona,0
2015-07-20,Arizona,0
2015-07-27,Arizona,0
2015-08-03,Arizona,0
2015-08-10,Arizona,0
2015-08-17,Arizona,0
2015-08-24,Arizona,0
2015-08-31,Arizona,0
2015-09-07,Arizona,0
2015-09-14,Arizona,0
2015-09-21,Arizona,0
2015-09-28,Arizona,0
2015-10-05,Arizona,0
2015-10-12,Arizona,0
2015-10-19,Arizona,0
2015-10-26,Arizona,0
2015-11-02,Arizona,0
2015-11-09,Arizona,0
2015-11-16,Arizona,0
2015-11-23,Arizona,0
2015-11-30,Arizona,0
2015-12-07,Arizona,0
2015-12-14,Arizona,1
2015-12-21,Arizona,0
2015-12-28,Arizona,2
2016-01-04,Arizona,2
2016-01-11,Arizona,2
2016-01-18,Arizona,0
2016-01-25,Arizona,1
2016-02-01,Arizona,0
2016-02-08,Arizona,1
2016-02-15,Arizona,0
2016-02-22,Arizona,0
2016-02-29,Arizona,1
2016-03-07,Arizona,0
2016-03-14,Arizona,1
2016-03-21,Arizona,0
2016-03-28,Arizona,0
2016-04-04,Arizona,0
2016-04-11,Arizona,0
2016-04-18,Arizona,0
2016-04-25,Arizona,0
2016-05-02,Arizona,0
2016-05-09,Arizona,0
2016-05-16,Arizona,0
2016-05-23,Arizona,0
2016-05-30,Arizona,0
2016-06-06,Arizona,0
2016-06-13,Arizona,0
2016-06-20,Arizona,0
2016-06-27,Arizona,0
2016-07-04,Arizona,0
2016-07-11,Arizona,0
2016-07-18,Arizona,0
2016-07-25,Arizona,0
2016-08-01,Arizona,0
2016-08-08,Arizona,0
2016-08-15,Arizona,0
2016-08-22,Arizona,0
2016-08-29,Arizona,0
2016-09-05,Arizona,0
2016-09-12,Arizona,0
2016-09-19,Arizona,0
2016-09-26,Arizona,0
2016-10-03,Arizona,0
2016-10-10,Arizona,0
2016-10-17,Arizona,0
2016-10-24,Arizona,0
2016-10-31,Arizona,0
2016-11-07,Arizona,1
2016-11-14,Arizona,2
2016-11-21,Arizona,5
2016-11-28,Arizona,3
2016-12-05,Arizona,4
2016-12-12,Arizona,6
2016-12-19,Arizona,1
2016-12-26,Arizona,4
2017-01-02,Arizona,4
2017-01-09,Arizona,8
2017-01-16,Arizona,1
2017-01-23,Arizona,0
2017-01-30,Arizona,6
2017-02-06,Arizona,8
2017-02-13,Arizona,3
2017-02-20,Arizona,2
2017-02-27,Arizona,5
2017-03-06,Arizona,6
2017-03-13,Arizona,3
2017-03-20,Arizona,1
2017-03-27,Arizona,0
2017-04-03,Arizona,0
2017-04-10,Arizona,0
2017-04-17,Arizona,0
2017-04-24,Arizona,0
2017-05-01,Arizona,0
2017-05-08,Arizona,0
2017-05-15,Arizona,0
2017-05-22,Arizona,0
2017-05-29,Arizona,0
2017-06-05,Arizona,0
2017-06-12,Arizona,0
2017-06-19,Arizona,0
2017-06-26,Arizona,0
2017-07-03,Arizona,0
2017-07-10,Arizona,0
2017-07-17,Arizona,0
2017-07-24,Arizona,0
2017-07-31,Arizona,0
2017-08-07,Arizona,0
2017-08-14,Arizona,0
2017-08-21,Arizona,0
2017-08-28,Arizona,0
2017-09-04,Arizona,0
2017-09-11,Arizona,0
2017-09-18,Arizona,0
2017-09-25,Arizona,0
2017-10-02,Arizona,0
2017-10-09,Arizona,0
2017-10-16,Arizona,0
2017-10-23,Arizona,0
2017-10-30,Arizona,1
2017-11-06,Arizona,1
2017-11-13,Arizona,1
2017-11-20,Arizona,4
2017-11-27,Arizona,1
2017-12-04,Arizona,1
2017-12-11,Arizona,2
2017-12-18,Arizona,9
2017-12-25,Arizona,3
2018-01-01,Arizona,12
2018-01-08,Arizona,3
2018-01-15,Arizona,2
2018-01-22,Arizona,0
2018-01-29,Arizona,5
2018-02-05,Arizona,3
2018-02-12,Arizona,5
2018-02-19,Arizona,1
2018-02-26,Arizona,5
2018-03-05,Arizona,5
2018-03-12,Arizona,1
2018-03-19,Arizona,2
2018-03-26,Arizona,2
2018-04-02,Arizona,0
2018-04-09,Arizona,0
2018-04-16,Arizona,0
2018-04-23,Arizona,0
2018-04-30,Arizona,0
2018-05-07,Arizona,0
2018-05-14,Arizona,0
2018-05-21,Arizona,0
2018-05-28,Arizona,0
2018-06-04,Arizona,0
2018-06-11,Arizona,0
2018-06-18,Arizona,0
2018-06-25,Arizona,0
2018-07-02,Arizona,0
2018-07-09,Arizona,0
2018-07-16,Arizona,0
2018-07-23,Arizona,0
2018-07-30,Arizona,0
2018-08-06,Arizona,0
2018-08-13,Arizona,0
2018-08-20,Arizona,0
2018-08-27,Arizona,0
2018-09-03,Arizona,0
2018-09-10,Arizona,0
2018-09-17,Arizona,0
2018-09-24,Arizona,0
2018-10-01,Arizona,0
2018-10-08,Arizona,0
2018-10-15,Arizona,0
2018-10-22,Arizona,0
2018-10-29,Arizona,0
2018-11-05,Arizona,0
2018-11-12,Arizona,1
2018-11-19,Arizona,1
2018-11-26,Arizona,1
2018-12-03,Arizona,0
2018-12-10,Arizona,3
2018-12-17,Arizona,2
2018-12-24,Arizona,8
2018-12-31,Arizona,7
2019-01-07,Arizona,6
2019-01-14,Arizona,4
2019-01-21,Arizona,3
2019-01-28,Arizona,2
2019-02-04,Arizona,2
2019-02-11,Arizona,2
2019-02-18,Arizona,6
2019-02-25,Arizona,7
2019-03-04,Arizona,3
2019-03-11,Arizona,6
2019-03-18,Arizona,1
2019-03-25,Arizona,3
2019-04-01,Arizona,0
2019-04-08,Arizona,0
2019-04-15,Arizona,0
2019-04-22,Arizona,0
2019-04-29,Arizona,0
2019-05-06,Arizona,0
2019-05-13,Arizona,0
2019-05-20,Arizona,0
2019-05-27,Arizona,0
2019-06-03,Arizona,0
2019-06-10,Arizona,0
2019-06-17,Arizona,0
2019-06-24,Arizona,0
2019-07-01,Arizona,0
2019-07-08,Arizona,0
2019-07-15,Arizona,0
2019-07-22,Arizona,0
2019-07-29,Arizona,0
2019-08-05,Arizona,0
2019-08-12,Arizona,0
2019-08-19,Arizona,0
2019-08-26,Arizona,0
2019-09-02,Arizona,0
2019-09-09,Arizona,0
2019-09-16,Arizona,0
2019-09-23,Arizona,0
2019-09-30,Arizona,0
2019-10-07,Arizona,0
2019-10-14,Arizona,0
2019-10-21,Arizona,0
2019-10-28,Arizona,1
2019-11-04,Arizona,0
2019-11-11,Arizona,2
2019-11-18,Arizona,4
2019-11-25,Arizona,7
2019-12-02,Arizona,5
2019-12-09,Arizona,6
2019-12-16,Arizona,4
2019-12-23,Arizona,0
2019-12-30,Arizona,9
2020-01-06,Arizona,0
2020-01-13,Arizona,0
2020-01-20,Arizona,6
2020-01-27,Arizona,11
2020-02-03,Arizona,4
2020-02-10,Arizona,2
2020-02-17,Arizona,0
2020-02-24,Arizona,0
2020-03-02,Arizona,5
2020-03-09,Arizona,3
2015-07-06,Arkansas,0
2015-07-13,Arkansas,0
2015-07-20,Arkansas,0
2015-07-27,Arkansas,0
2015-08-03,Arkansas,0
2015-08-10,Arkansas,0
2015-08-17,Arkansas,0
2015-08-24,Arkansas,0
2015-08-31,Arkansas,0
2015-09-07,Arkansas,0
2015-09-14,Arkansas,0
2015-09-21,Arkansas,0
2015-09-28,Arkansas,0
2015-10-05,Arkansas,0
2015-10-12,Arkansas,0
2015-10-19,Arkansas,0
2015-10-26,Arkansas,0
2015-11-02,Arkansas,0
2015-11-09,Arkansas,0
2015-11-16,Arkansas,0
2015-11-23,Arkansas,0
2015-11-30,Arkansas,0
2015-12-07,Arkansas,0
2015-12-14,Arkansas,0
2015-12-21,Arkansas,0
2015-12-28,Arkansas,0
2016-01-04,Arkansas,1
2016-01-11,Arkansas,3
2016-01-18,Arkansas,10
2016-01-25,Arkansas,4
2016-02-01,Arkansas,4
2016-02-08,Arkansas,0
2016-02-15,Arkansas,0
2016-02-22,Arkansas,1
2016-02-29,Arkansas,6
2016-03-07,Arkansas,1
2016-03-14,Arkansas,1
2016-03-21,Arkansas,0
2016-03-28,Arkansas,1
2016-04-04,Arkansas,0
2016-04-11,Arkansas,0
2016-04-18,Arkansas,0
2016-04-25,Arkansas,0
2016-05-02,Arkansas,0
2016-05-09,Arkansas,0
2016-05-16,Arkansas,0
2016-05-23,Arkansas,0
2016-05-30,Arkansas,0
2016-06-06,Arkansas,0
2016-06-13,Arkansas,0
2016-06-20,Arkansas,0
2016-06-27,Arkansas,1
2016-07-04,Arkansas,0
2016-07-11,Arkansas,0
2016-07-18,Arkansas,0
2016-07-25,Arkansas,0
2016-08-01,Arkansas,0
2016-08-08,Arkansas,0
2016-08-15,Arkansas,0
2016-08-22,Arkansas,0
2016-08-29,Arkansas,0
2016-09-05,Arkansas,0
2016-09-12,Arkansas,0
2016-09-19,Arkansas,0
2016-09-26,Arkansas,0
2016-10-03,Arkansas,0
2016-10-10,Arkansas,0
2016-10-17,Arkansas,0
2016-10-24,Arkansas,0
2016-10-31,Arkansas,0
2016-11-07,Arkansas,0
2016-11-14,Arkansas,0
2016-11-21,Arkansas,0
2016-11-28,Arkansas,0
2016-12-05,Arkansas,0
2016-12-12,Arkansas,0
2016-12-19,Arkansas,0
2016-12-26,Arkansas,0
2017-01-02,Arkansas,0
2017-01-09,Arkansas,0
2017-01-16,Arkansas,0
2017-01-23,Arkansas,0
2017-01-30,Arkansas,0
2017-02-06,Arkansas,0
2017-02-13,Arkansas,0
2017-02-20,Arkansas,0
2017-02-27,Arkansas,0
2017-03-06,Arkansas,0
2017-03-13,Arkansas,0
2017-03-20,Arkansas,0
2017-03-27,Arkansas,0
2017-04-03,Arkansas,0
2017-04-10,Arkansas,0
2017-04-17,Arkansas,0
2017-04-24,Arkansas,0
2017-05-01,Arkansas,0
2017-05-08,Arkansas,0
2017-05-15,Arkansas,0
2017-05-22,Arkansas,0
2017-05-29,Arkansas,0
2017-06-05,Arkansas,0
2017-06-12,Arkansas,0
2017-06-19,Arkansas,0
2017-06-26,Arkansas,0
2017-07-03,Arkansas,0
2017-07-10,Arkansas,0
2017-07-17,Arkansas,0
2017-07-24,Arkansas,0
2017-07-31,Arkansas,0
2017-08-07,Arkansas,0
2017-08-14,Arkansas,0
2017-08-21,Arkansas,0
2017-08-28,Arkansas,0
2017-09-04,Arkansas,0
2017-09-11,Arkansas,0
2017-09-18,Arkansas,0
2017-09-25,Arkansas,0
2017-10-02,Arkansas,0
2017-10-09,Arkansas,0
2017-10-16,Arkansas,0
2017-10-23,Arkansas,0
2017-10-30,Arkansas,0
2017-11-06,Arkansas,0
2017-11-13,Arkansas,0
2017-11-20,Arkansas,0
2017-11-27,Arkansas,0
2017-12-04,Arkansas,0
2017-12-11,Arkansas,0
2017-12-18,Arkansas,0
2017-12-25,Arkansas,0
2018-01-01,Arkansas,0
2018-01-08,Arkansas,0
2018-01-15,Arkansas,0
2018-01-22,Arkansas,0
2018-01-29,Arkansas,0
2018-02-05,Arkansas,0
2018-02-12,Arkansas,0
2018-02-19,Arkansas,0
2018-02-26,Arkansas,0
2018-03-05,Arkansas,0
2018-03-12,Arkansas,0
2018-03-19,Arkansas,0
2018-03-26,Arkansas,0
2018-04-02,Arkansas,0
2018-04-09,Arkansas,0
2018-04-16,Arkansas,0
2018-04-23,Arkansas,0
2018-04-30,Arkansas,0
2018-05-07,Arkansas,0
2018-05-14,Arkansas,0
2018-05-21,Arkansas,0
2018-05-28,Arkansas,0
2018-06-04,Arkansas,0
2018-06-11,Arkansas,0
2018-06-18,Arkansas,0
2018-06-25,Arkansas,0
2018-07-02,Arkansas,0
2018-07-09,Arkansas,0
2018-07-16,Arkansas,0
2018-07-23,Arkansas,0
2018-07-30,Arkansas,0
2018-08-06,Arkansas,0
2018-08-13,Arkansas,0
2018-08-20,Arkansas,0
2018-08-27,Arkansas,0
2018-09-03,Arkansas,0
2018-09-10,Arkansas,0
2018-09-17,Arkansas,0
2018-09-24,Arkansas,0
2018-10-01,Arkansas,0
2018-10-08,Arkansas,0
2018-10-15,Arkansas,0
2018-10-22,Arkansas,0
2018-10-29,Arkansas,0
2018-11-05,Arkansas,0
2018-11-12,Arkansas,0
2018-11-19,Arkansas,0
2018-11-26,Arkansas,0
2018-12-03,Arkansas,0
2018-12-10,Arkansas,0
2018-12-17,Arkansas,0
2018-12-24,Arkansas,0
2018-12-31,Arkansas,0
2019-01-07,Arkansas,0
2019-01-14,Arkansas,0
2019-01-21,Arkansas,0
2019-01-28,Arkansas,0
2019-02-04,Arkansas,0
2019-02-11,Arkansas,0
2019-02-18,Arkansas,0
2019-02-25,Arkansas,0
2019-03-04,Arkansas,0
2019-03-11,Arkansas,0
2019-03-18,Arkansas,0
2019-03-25,Arkansas,0
2019-04-01,Arkansas,0
2019-04-08,Arkansas,0
2019-04-15,Arkansas,0
2019-04-22,Arkansas,0
2019-04-29,Arkansas,0
2019-05-06,Arkansas,0
2019-05-13,Arkansas,0
2019-05-20,Arkansas,0
2019-05-27,Arkansas,0
2019-06-03,Arkansas,0
2019-06-10,Arkansas,0
2019-06-17,Arkansas,0
2019-06-24,Arkansas,0
2019-07-01,Arkansas,0
2019-07-08,Arkansas,0
2019-07-15,Arkansas,0
2019-07-22,Arkansas,0
2019-07-29,Arkansas,0
2019-08-05,Arkansas,0
2019-08-12,Arkansas,0
2019-08-19,Arkansas,0
2019-08-26,Arkansas,0
2019-09-02,Arkansas,0
2019-09-09,Arkansas,0
2019-09-16,Arkansas,0
2019-09-23,Arkansas,0
2019-09-30,Arkansas,0
2019-10-07,Arkansas,0
2019-10-14,Arkansas,0
2019-10-21,Arkansas,0
2019-10-28,Arkansas,0
2019-11-04,Arkansas,0
2019-11-11,Arkansas,0
2019-11-18,Arkansas,0
2019-11-25,Arkansas,0
2019-12-02,Arkansas,0
2019-12-09,Arkansas,0
2019-12-16,Arkansas,0
2019-12-23,Arkansas,0
2019-12-30,Arkansas,0
2020-01-06,Arkansas,0
2020-01-13,Arkansas,0
2020-01-20,Arkansas,0
2020-01-27,Arkansas,0
2020-02-03,Arkansas,0
2020-02-10,Arkansas,0
2020-02-17,Arkansas,0
2020-02-24,Arkansas,0
2020-03-02,Arkansas,0
2020-03-09,Arkansas,0
2015-07-06,California,0
2015-07-13,California,0
2015-07-20,California,0
2015-07-27,California,0
2015-08-03,California,0
2015-08-10,California,0
2015-08-17,California,0
2015-08-24,California,0
2015-08-31,California,0
2015-09-07,California,0
2015-09-14,California,0
2015-09-21,California,0
2015-09-28,California,0
2015-10-05,California,0
2015-10-12,California,0
2015-10-19,California,0
2015-10-26,California,0
2015-11-02,California,0
2015-11-09,California,0
2015-11-16,California,0
2015-11-23,California,0
2015-11-30,California,0
2015-12-07,California,0
2015-12-14,California,0
2015-12-21,California,0
2015-12-28,California,0
2016-01-04,California,0
2016-01-11,California,0
2016-01-18,California,0
2016-01-25,California,0
2016-02-01,California,0
2016-02-08,California,3
2016-02-15,California,2
2016-02-22,California,1
2016-02-29,California,0
2016-03-07,California,1
2016-03-14,California,1
2016-03-21,California,0
2016-03-28,California,0
2016-04-04,California,0
2016-04-11,California,0
2016-04-18,California,0
2016-04-25,California,0
2016-05-02,California,0
2016-05-09,California,0
2016-05-16,California,0
2016-05-23,California,0
2016-05-30,California,0
2016-06-06,California,0
2016-06-13,California,0
2016-06-20,California,0
2016-06-27,California,0
2016-07-04,California,0
2016-07-11,California,0
2016-07-18,California,0
2016-07-25,California,0
2016-08-01,California,0
2016-08-08,California,0
2016-08-15,California,0
2016-08-22,California,0
2016-08-29,California,0
2016-09-05,California,0
2016-09-12,California,0
2016-09-19,California,0
2016-09-26,California,0
2016-10-03,California,0
2016-10-10,California,0
2016-10-17,California,0
2016-10-24,California,0
2016-10-31,California,1
2016-11-07,California,1
2016-11-14,California,0
2016-11-21,California,2
2016-11-28,California,3
2016-12-05,California,0
2016-12-12,California,1
2016-12-19,California,4
2016-12-26,California,7
2017-01-02,California,5
2017-01-09,California,3
2017-01-16,California,0
2017-01-23,California,0
2017-01-30,California,0
2017-02-06,California,0
2017-02-13,California,0
2017-02-20,California,0
2017-02-27,California,0
2017-03-06,California,0
2017-03-13,California,0
2017-03-20,California,0
2017-03-27,California,0
2017-04-03,California,0
2017-04-10,California,0
2017-04-17,California,0
2017-04-24,California,0
2017-05-01,California,0
2017-05-08,California,0
2017-05-15,California,0
2017-05-22,California,0
2017-05-29,California,0
2017-06-05,California,0
2017-06-12,California,0
2017-06-19,California,0
2017-06-26,California,0
2017-07-03,California,0
2017-07-10,California,0
2017-07-17,California,0
2017-07-24,California,0
2017-07-31,California,0
2017-08-07,California,0
2017-08-14,California,0
2017-08-21,California,0
2017-08-28,California,0
2017-09-04,California,0
2017-09-11,California,0
2017-09-18,California,0
2017-09-25,California,0
2017-10-02,California,0
2017-10-09,California,0
2017-10-16,California,0
2017-10-23,California,0
2017-10-30,California,1
2017-11-06,California,1
2017-11-13,California,0
2017-11-20,California,2
2017-11-27,California,1
2017-12-04,California,0
2017-12-11,California,2
2017-12-18,California,1
2017-12-25,California,7
2018-01-01,California,2
2018-01-08,California,2
2018-01-15,California,2
2018-01-22,California,3
2018-01-29,California,7
2018-02-05,California,4
2018-02-12,California,0
2018-02-19,California,0
2018-02-26,California,5
2018-03-05,California,2
2018-03-12,California,2
2018-03-19,California,1
2018-03-26,California,0
2018-04-02,California,0
2018-04-09,California,0
2018-04-16,California,0
2018-04-23,California,0
2018-04-30,California,0
2018-05-07,California,0
2018-05-14,California,0
2018-05-21,California,0
2018-05-28,California,0
2018-06-04,California,0
2018-06-11,California,0
2018-06-18,California,0
2018-06-25,California,0
2018-07-02,California,0
2018-07-09,California,0
2018-07-16,California,0
2018-07-23,California,0
2018-07-30,California,0
2018-08-06,California,0
2018-08-13,California,0
2018-08-20,California,0
2018-08-27,California,0
2018-09-03,California,0
2018-09-10,California,0
2018-09-17,California,0
2018-09-24,California,0
2018-10-01,California,0
2018-10-08,California,0
2018-10-15,California,0
2018-10-22,California,0
2018-10-29,California,0
2018-11-05,California,0
2018-11-12,California,0
2018-11-19,California,0
2018-11-26,California,1
2018-12-03,California,0
2018-12-10,California,0
2018-12-17,California,0
2018-12-24,California,0
2018-12-31,California,0
2019-01-07,California,1
2019-01-14,California,0
2019-01-21,California,6
2019-01-28,California,4
2019-02-04,California,4
2019-02-11,California,4
2019-02-18,California,0
2019-02-25,California,0
2019-03-04,California,0
2019-03-11,California,0
2019-03-18,California,0
2019-03-25,California,0
2019-04-01,California,0
2019-04-08,California,0
2019-04-15,California,0
2019-04-22,California,0
2019-04-29,California,0
2019-05-06,California,0
2019-05-13,California,0
2019-05-20,California,0
2019-05-27,California,0
2019-06-03,California,0
2019-06-10,California,0
2019-06-17,California,0
2019-06-24,California,0
2019-07-01,California,0
2019-07-08,California,0
2019-07-15,California,0
2019-07-22,California,0
2019-07-29,California,0
2019-08-05,California,0
2019-08-12,California,0
2019-08-19,California,0
2019-08-26,California,0
2019-09-02,California,0
2019-09-09,California,0
2019-09-16,California,0
2019-09-23,California,0
2019-09-30,California,0
2019-10-07,California,0
2019-10-14,California,0
2019-10-21,California,0
2019-10-28,California,0
2019-11-04,California,3
2019-11-11,California,4
2019-11-18,California,0
2019-11-25,California,3
2019-12-02,California,5
2019-12-09,California,8
2019-12-16,California,2
2019-12-23,California,2
2019-12-30,California,11
2020-01-06,California,6
2020-01-13,California,1
2020-01-20,California,2
2020-01-27,California,8
2020-02-03,California,8
2020-02-10,California,5
2020-02-17,California,0
2020-02-24,California,0
2020-03-02,California,9
2020-03-09,California,1
2015-07-06,Connecticut,0
2015-07-13,Connecticut,0
2015-07-20,Connecticut,0
2015-07-27,Connecticut,0
2015-08-03,Connecticut,0
2015-08-10,Connecticut,0
2015-08-17,Connecticut,0
2015-08-24,Connecticut,0
2015-08-31,Connecticut,0
2015-09-07,Connecticut,0
2015-09-14,Connecticut,0
2015-09-21,Connecticut,0
2015-09-28,Connecticut,0
2015-10-05,Connecticut,0
2015-10-12,Connecticut,0
2015-10-19,Connecticut,0
2015-10-26,Connecticut,0
2015-11-02,Connecticut,0
2015-11-09,Connecticut,0
2015-11-16,Connecticut,0
2015-11-23,Connecticut,0
2015-11-30,Connecticut,0
2015-12-07,Connecticut,0
2015-12-14,Connecticut,0
2015-12-21,Connecticut,0
2015-12-28,Connecticut,0
2016-01-04,Connecticut,0
2016-01-11,Connecticut,0
2016-01-18,Connecticut,0
2016-01-25,Connecticut,0
2016-02-01,Connecticut,0
2016-02-08,Connecticut,0
2016-02-15,Connecticut,0
2016-02-22,Connecticut,0
2016-02-29,Connecticut,0
2016-03-07,Connecticut,0
2016-03-14,Connecticut,0
2016-03-21,Connecticut,0
2016-03-28,Connecticut,0
2016-04-04,Connecticut,0
2016-04-11,Connecticut,0
2016-04-18,Connecticut,0
2016-04-25,Connecticut,0
2016-05-02,Connecticut,0
2016-05-09,Connecticut,0
2016-05-16,Connecticut,0
2016-05-23,Connecticut,0
2016-05-30,Connecticut,0
2016-06-06,Connecticut,0
2016-06-13,Connecticut,0
