Date_Only,Station,PM2.5(㎍/㎥),PM10(㎍/㎥),PM10_minus_PM2.5,Temperature(℃),Relative_Humidity(%),Air_Pressure(hpa),Wind_Speed(m/s),Log_PM2.5,Log_PM10_minus_PM2.5
2021-01-01,Sihwa_Industrial complex,27.205714285714286,40.27285714285715,13.067142857142857,-7.72,65.0,1026.0514285714287,0.282088969330109,3.33952459166171,2.6438417842043975
2021-01-02,Sihwa_Industrial complex,27.69541666666667,38.06333333333333,10.367916666666666,-2.7720833333333332,57.4875,1024.8229166666667,0.9454281529143832,3.3567374119869364,2.4307950602495167
2021-01-03,Sihwa_Industrial complex,21.438333333333333,59.740833333333335,38.3025,-4.244583333333334,42.14416666666667,1030.22375,1.1164362615741616,3.1107708057630883,3.671288130083532
2021-01-04,Sihwa_Industrial complex,28.865416666666665,54.54375,25.67833333333333,-4.388333333333334,45.166666666666664,1033.0241666666666,0.4409368818830778,3.396701177758356,3.283851750330551
2021-01-05,Sihwa_Industrial complex,37.322916666666664,54.61083333333334,17.287916666666668,-1.7845833333333332,56.162083333333335,1029.1020833333334,0.8965677590142273,3.646048063636938,2.9062405503199966
2021-01-06,Sihwa_Industrial complex,28.72479166666667,45.720625,16.995833333333334,-4.449791666666667,54.373958333333334,1025.4670833333332,1.2729535996535082,3.391981433861508,2.89014024961871
2021-01-07,Sihwa_Industrial complex,20.12666666666667,36.830416666666665,16.70375,-7.114999999999999,52.58583333333333,1021.8320833333332,1.649339440292789,3.050536065594665,2.8737764815464693
2021-01-08,Sihwa_Industrial complex,12.619333333333334,22.64333333333333,10.024,-13.68875,45.977916666666665,1025.9616666666666,2.022668683025459,2.611490351897352,2.4000747142713026
2021-01-09,Sihwa_Industrial complex,12.992307692307692,21.66307692307692,8.670769230769231,-13.228333333333332,42.919999999999995,1023.7354166666668,1.3824292537839913,2.6385077280625397,2.2691078544678303
2021-01-10,Sihwa_Industrial complex,26.284761904761904,39.06619047619048,12.781428571428572,-10.9,50.89375,1024.7520833333333,0.6510689564115719,3.3063283743681957,2.623321930127149
2021-01-11,Sihwa_Industrial complex,33.49708333333333,48.567499999999995,15.070416666666668,-6.789166666666667,55.95541666666667,1027.4391666666668,0.4624677136640618,3.540874779400715,2.776980107643948
2021-01-12,Sihwa_Industrial complex,37.55770833333333,61.44739583333333,23.8896875,-4.086875,52.06479166666667,1025.4877083333333,0.5300065263476639,3.6521560367867534,3.2144535610576135
2021-01-13,Sihwa_Industrial complex,41.61833333333333,74.32729166666667,32.708958333333335,-1.3845833333333333,48.17416666666667,1023.53625,0.5975453390312658,3.7522845206344493,3.5177636279478035
2021-01-14,Sihwa_Industrial complex,45.678958333333334,87.2071875,41.52822916666666,1.3177083333333335,44.283541666666665,1021.5847916666665,0.6650841517148679,3.8432934921165285,3.750168071123038
2021-01-15,Sihwa_Industrial complex,49.739583333333336,100.08708333333334,50.3475,4.0200000000000005,40.392916666666665,1019.6333333333332,0.73262296439847,3.9267063423387065,3.9386162496976667
2021-01-16,Sihwa_Industrial complex,38.7625,74.52666666666667,35.76416666666666,1.6302777777777782,47.699999999999996,1021.1966666666666,0.7579807026482104,3.6829242570752627,3.604523638905962
2021-01-17,Sihwa_Industrial complex,27.785416666666663,48.96625,21.180833333333332,-0.7594444444444443,55.007083333333334,1022.7599999999999,0.7833384408979509,3.359868893154733,3.099228552602067
2021-01-18,Sihwa_Industrial complex,16.808333333333334,23.405833333333337,6.5975,-3.1491666666666664,62.314166666666665,1024.3233333333333,0.8086961791476913,2.8796665125371015,2.027819245808811
2021-01-19,Sihwa_Industrial complex,28.218333333333337,49.46541666666667,21.247083333333332,-3.9904166666666665,52.940416666666664,1022.9175,1.575674617434738,3.374796366137728,3.102210913877388
2021-01-20,Sihwa_Industrial complex,33.96208333333333,61.12708333333333,27.164999999999996,-5.342083333333334,42.93,1031.67875,0.3796856798735981,3.554264140926376,3.3380800723466773
2021-01-21,Sihwa_Industrial complex,44.320625,62.736875,18.416249999999998,0.4377083333333327,59.897083333333335,1026.0454166666666,0.46335221182425584,3.813762226885543,2.9661103443199797
2021-01-22,Sihwa_Industrial complex,54.67916666666667,64.34666666666666,9.6675,6.2175,76.86416666666666,1020.4120833333332,0.5470187437749136,4.019606049439069,2.367201736080018
2021-01-23,Sihwa_Industrial complex,41.75791666666667,43.947916666666664,2.19,6.0495833333333335,86.45208333333333,1018.9058333333334,0.6016766114291342,3.7555543634232946,1.1600209167967532
2021-01-24,Sihwa_Industrial complex,8.3825,11.012083333333337,2.629583333333333,8.395000000000001,59.91166666666667,1020.0333333333332,0.974736570857148,2.238846252027039,1.289117857482855
2021-01-25,Sihwa_Industrial complex,25.501666666666665,29.49416666666667,3.9925,6.322500000000001,68.69583333333334,1025.97875,0.3759478811703541,3.2772076240962504,1.6079367863078333
2021-01-26,Sihwa_Industrial complex,35.989374999999995,43.20395833333333,7.214583333333333,5.115,73.99583333333334,1023.1127083333332,0.6028925999158666,3.6106307092431136,2.1059110299756907
